Scientific_Name,Plant_Name,Coverage,Bamboo,Bulb,Grass,Groundcover,Perennial,Palm,Shrub,Succulent,Tree,Vine,Native,Genetic_Concerns,Potentially_Invasive
"Gladiolus Spp.",Gladiolus,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Glandularia Aristigera And Cvs","South American Rock Vervain",3,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Glandularia Lilacina","Lilac Verbena",10,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
"Glaucium Flavum","Horned Poppy",2,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Glechoma Hederacea","Ground Ivy/Cat's Foot",7,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
"Globularia Cordifolia","Creeping Globe Daisy",1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Gomphostigma Virgatum",Otterbossie,7,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Goniolimon Incanum",Statice,3,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Goniolimon Speciosum",Statice,3,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Goniolimon Tataricum","Tartarian Statice",2,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Graptopetalum Bellum","Chihuahua Flower",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Graptopetalum Paraguayense","Ghost Plant",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Graptopetalum Paraguayense Superbum",Graptopetalum,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Graptopetalum Pentandrum","Five Stamen Graptopetalum",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Graptopetalum Spp.",Graptopetalum,0,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Graptopetalum Superbum","Beautiful Graptopetalum",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Graptoveria Hybrids",Graptoveria,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No
"Grevillea 'Austraflora Fanfare'",Grevillea,123,No,No,No,Yes,No,No,No,No,No,No,No,No,No
"Grevillea 'Bonfire'",Grevillea,16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Canberra Gem'",Grevillea,38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Cherry Royal'",Grevillea,10,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Firesprite'",Grevillea,38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Granya Glory'",Grevillea,5,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Jade Mound'",Grevillea,16,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Kings Fire'",Grevillea,38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Kings Rainbow'",Grevillea,38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Little Honey'",Grevillea,64,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Long John'",Grevillea,79,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Magic Lantern'",Grevillea,20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Mason's Hyrbrid'",Grevillea,20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Moonlight'",Grevillea,64,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Peaches And Cream'",Grevillea,20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Pink Midget'",Grevillea,5,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Poorinda Blondie'",Grevillea,71,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Poorinda Queen'",Grevillea,20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Poorinda Signet'","Ucsc Introduction",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Red Hooks'",Grevillea,64,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Robyn Gordon'",Grevillea,24,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Royal Mantle'",Grevillea,154,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Ruby Clusters'",Grevillea,113,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'scarlet Sprite'",Grevillea,38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'superb'",Grevillea,13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'sylvia'",Grevillea,38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'Wakiti Sunrise'",Grevillea,64,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea 'White Wings'",Grevillea,123,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Austraflora 'Fanfare'",Grevillea,123,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Fililoba","Spider Net Grevillea",16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Juniperina 'Lava Cascade'","Lava Cascade Juniper-Leaf Grevillea",50,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Juniperina 'Molonglo'","Juniper-Leaf Grevillea",38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Lanigera","Woolly Grevillea",16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Lanigera 'Coastal Gem'","Ucsc Introduction",16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Lanigera 'Little Drummer Boy'","Little Drummer Boy Woolly Grevillea",7,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Lanigera 'Low Form'","Prostrate Woolly Grevillea",38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Lanigera 'Mt. Tamboritha'","Mt. Tamboritha Woolly Grevillea",13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Lanigera 'Prostrate'","Prostrate Woolly Grevillea",10,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Lavandulacea 'Billywing'","Billywing Lavender Grevillea",5,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Lavandulacea 'Penola'","Lavender Grevillea",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Nudiflora 'Medusa'","Bare Flowering Grevillea",64,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Petrophiloides 'Big Bird'","Pink Pokers",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Rhyolitica","Deua Flame",13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Rhyolitica 'Deau Flame'",Grevillea,13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Rosmarinifolia 'Dwarf Pink'","Dwarf Pink Rosemary Grevillea",10,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Rosmarinifolia 'scarlet Sprite'","Scarlet Sprite Rosemary Grevillea",50,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Spp.",Grevillea,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Synapheae 'Picasso'","Catkin Grevillea",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Tetragonoloba 'Ray's Red'",Grevillea,10,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Thelemanniana 'Baby'","Spider Net Grevillea",10,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea Victoriae 'Marshall's Seedlng'",Grevillea,38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea Victoriae 'Murray Valley Queen'",Grevillea,28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea X 'Noell'","Noell Grevillea",16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea X 'Noellii'",Grevillea,16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grevillea X Gaudichaudii",Grevillea,71,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Grevillea X Ivanhoe",Grevillea,87,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grindelia Hirsutula","Hairy Gum Plant",1,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
"Grindelia Stricta","Coastal Gum Plant",7,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
"Grindelia Stricta Var. Platyphylla","Spreading Gum Plant",7,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No
"Gymnocladus Dioica","Kentucky Coffee Tree",500,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Gypsophila Paniculata","Baby's Breath",7,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Haemanthus Albiflos","Dappled Snowbush",2,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Hakea Laurina","Sea Urchin Tree",133,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Hakea Suaveolens","Sweet Hakea",177,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Halimium Atriplicifolium","Yellow Rock Rose",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Halimium Lasianthum","Sun Rose",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Halimium Ocymoides","Yellow Rock Rose",5,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Haworthia Spp.",Haworthia,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Hechtia Spp And Cvs.",Hechtia,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Helianthemum Nummularium",Helianthemum,7,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Helianthemum Scoparium Var. Aldersonii",Sunrose,2,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Helianthus Multiflorus",Sunflower,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Helichrysum Bracteatum","Straw Flower",7,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Helictotrichon Sempervirens","Blue Oat Grass",5,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"Helleborus Argutifolius","Corsican Hellebore",7,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Helleborus Foetidus","Stinking Hellebore",5,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Hesperaloe Funifera","Coahuilan Hesperaloe",24,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
"Hesperaloe Parviflora","Red/ Yellow Yucca",13,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
"Hesperantha Baurii",Hesperantha,0.25,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Hesperantha Coccinea","Cape Lily, River Lily",1,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Hesperantha Coccinea F. Alba","Crimson Flag, Cape Lily, River Lily",1,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Hesperantha Cucullata",Hesperantha,0.25,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Hesperantha Vaginata","Harlequin Hesperantha",0.25,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Hesperocyparis Arizonica (Cupressus Arizonica) Nomen. Unresolved","Arizona Cypress",254,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Hesperocyparis Bakeri (Cupressus Bakeri)","Modoc Cypress",500,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
"Hesperocyparis Forbesii (Cupressus Forbesii)","Tecate Cypress",254,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
"Hesperocyparis Goveniana (Cupressus Goveniana)","Gowen Cypress",500,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
"Hesperocyparis Guadalupensis (Cupressus Guadalupensis)","Guadalupe Island Cypress",500,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
"Hesperocyparis Macnabiana (Cupressus Macnabiana)","Macnab Cypress",500,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
"Hesperocyparis Nevadensis (Cupressus Nevadensis)","Piute Cypress",500,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
"Hesperocyparis Sargentii (Cupressus Sargentii)","Sargent Cypress",500,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
"Hesperocyparis Stephensonii (Cupressus Arizonica Ssp. Arizonica, C. Arizonica Var. Glabra))","Cuyamaca Cypress",500,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
"Hesperoyucca Spp.",Yucca,0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
"Hesperoyucca Whipplei 'Rbg' [yucca]","Our Lord's Candle",10,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
"Hesperoyucca Whipplei [yucca]","Our Lord's Candle",10,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No
"Hesperoyucca Whipplei Ssp. Eremica [yucca]","Baja Yucca",10,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
"Heteromeles Arbutifolia",Toyon,79,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Heterotheca Villosa","Hairy Golden Aster",1,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Hibiscus Syriacus","Rose Of Sharon",28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Holodiscus Discolor (#20867)","Cream Bush/Ocean Spray",50,No,No,No,No,No,No,No,No,No,No,No,Yes,No
"Homeria Spp.","Cape Tulip",3,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Homoglad Hybrids","Hybrid Homoglad",2,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Hordeum Brachyanther","California Barley",3,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No
"Hosackia Crassifolia Var. Otayensis","Otay Mountain Lotus",13,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
"Humulus Lupulus",Hops,16,No,No,No,No,No,No,No,No,No,Yes,No,No,No
"Hunnemannia Fumariifolia","Mexican Tulip Poppy",3,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Hylotelephium Spp. And Cvs.","Stone Crop",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Hymenolepis Parviflora","Golden Coulter Bush",10,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Hypericum Olympicum","Olympic Hypericum",2,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Ilex Aquifolium","English Holly",380,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Ilex Cornuta  'Burfordii'","Burford Holly",79,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Ilex Vomitoria",Yaupon,123,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Indigofera Heterantha","Himalayan Indigo",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Ipheion Uniflorum","Spring Star Flower",1,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
"Ipomoea Indica","Blue Dawn Flower",79,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
"Ipomopsis Rubra","Standing Cypress",1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Iris 'snow Queen'","Pch Iris",3,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Iris Douglasiana","Douglias Iris",7,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Iris Fernaldii","Fernald's Iris",3,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Iris Germanica","Bearded Iris",3,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
"Iris Spp. And Pacific Coast Hybrids","Douglas Iris Hybrids; Bearded Iris Varieties",0,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
"Isomeris Arborea",Bladderpod,16,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
"Isoplexis Canariensis","Canary Island Foxglove",13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Isoplexis Chalcantha",Isoplexis,7,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Isopogon Formosus","Rose Cone Flower Or Drumsticks",16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Iva Hayesiana","Poverty Weed",20,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
"Ixia Spp.","African Corn Lily",1,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Jasminum Floridum","Showy Jasmine",13,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
"Jasminum Humile","Italian Jasmine",79,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
"Jasminum Mesnyi","Primrose Jasmine",57,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
"Jasminum Nitidum","Angel Wing Jasmine",10,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
"Jasminum Nudiflorum","Winter Jasmine",38,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
"Jasminum Officinale F. Grandiflorum","Common Jasmine",45,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
"Jasminum Parkeri","Dwarf Jasmine",3,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
"Jubaea Chilensis","Chilean Wine Palm",314,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
"Juncus Patens","Common Rush",7,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
"Juniperus C. Sea Green Pom Pom","Sea Green Pom Pon Juniper",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Californica","California Juniper",79,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
"Juniperus Cedrus","Canary Island Juniper",177,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Angelica Blue'","Angelica Blue Juniper",44,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Armstrongii'","Armstrong Juniper",16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Bakaurea'","Gold Stars¿ Juniper",28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Blue Point'","Blue Point Spiral Juniper",50,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Daub's Frosted'","Daub's Frosted Juniper",20,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Etgozam'","Eternal Golds¬ Juniper",16,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Gold Lace'","Gold Lace Juniper",24,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Gold Lace' Plant Patent #8,20","Gold Lace Juniper",24,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Hetzii Columnaris'","Green Columnar Juniper",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Hetzii Glauca'","Hetz Blue Juniper",79,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Kaizuka Variegata'","Variegated Hollywood Juniper",79,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Mint Julep'","Mint Julep Juniper",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Monlep'","Mint Juleps¿ Juniper",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Pfitzeriana Compacta'","Compact Pfitzer Juniper",16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Robusta Green'","Robusta Green Juniper",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'san Jose'","San Jose Juniper",28,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'sargentii'","Sargent's Juniper",50,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'sea Green'","Sea Green Juniper",16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'spartan'","Spartan Juniper",13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Chinensis 'Torulosa'","Hollywood Juniper",79,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Communis 'Alpine Carpet'","Alpine Carpet Juniper",10,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Communis 'Arnold'","Arnold Common Juniper",3,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Communis 'Effusa'","Effusa Juniper",16,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Communis 'Gold Cone'","Gold Cone Juniper",2,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Communis 'Mondap'","Alpine Carpets¿ Juniper",7,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Communis Var. Montana","Mountain Juniper",16,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Conferta","Shore Juniper",38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Conferta 'Blue Pacific'","Shore Juniper",38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Bar Harbor'","Bar Harbor Juniper",64,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Blue Chip'","Blue Chip Juniper",38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Hughes'","Hughes Juniper",38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Icee Blue'","Icee Blue Juniper",50,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Limeglow'","Lime Glow Juniper",10,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Monber'","Icee Blues¿ Juniper",50,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Mongeo'","Jazzy Jewels¬ Andorra Juniper",28,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Mother Lode'","Mother Lode Juniper",64,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Plumosa Compacta'","Compact Plumosa Juniper",28,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Prince Of Wales'","Prince Of Wales Juniper",64,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Wiltonii'","Blue Carpet Juniper, Blue Rug Juniper",38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Horizontalis 'Youngstown'","Youngstown Juniper",28,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Pfitzeriana","Pfitzer Juniper",95,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Pfitzeriana 'Aurea'","Golden Pfitzer Juniper",64,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Pfitzeriana 'Compacta'",Juniperus,20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Pfitzeriana 'Glauca'",Juniperus,28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Pfitzeriana 'Mint Julep'","Chinese Juniper",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Procumbens 'Green Mound'","Green Mound Japanese Garden Juniper",64,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Procumbens 'Nana'","Japanese Garden Juniper",16,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Sabina","Savin Juniper",44,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Sabina 'Arcadia'","Arcadia Juniper",38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Sabina 'Broadmoor'","Broadmoor Juniper",20,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Sabina 'Buffalo'","Buffalo Juniper",50,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Sabina 'Calgary Carpet'",Juniperus,79,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Sabina 'Moor-Dense'",Juniperus,24,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Sabina 'scandia'","Scandia Juniper",50,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Sabina 'Tamariscifolia'","Tam Juniper, Tamarix Juniper",79,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Sabina Tamariscifolia 'New Blue'","New Blue Tamarix Juniper",79,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopuloroum 'skyrocket'","Skyrocket Juniper",7,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Blue Arrow'","Blue Arrow Juniper",3,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Cologreen'","Cologreen Juniper",28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Gray Gleam'","Gray Gleam Juniper",28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Medora'","Medora Juniper",5,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Monam'","Blue Creepers¿ Juniper",38,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Monovr'","Burly Blues¬ Juniper",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Moonglow'","Moonglow Juniper",50,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'skyrocket'","Skyrocket Juniper",5,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Table Top Blue'","Table Top Blue Juniper",57,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Tolleson's Weeping'","Tolleson's Blue Weeping Juniper",79,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum 'Wichita Blue'","Wichita Blue Juniper",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Scopulorum Cvs.","Rocky Mountain Juniper",79,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Juniperus Spp.",Juniper,0,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No
"Juniperus Squamata 'Blue Star'","Blue Star Singleseed Juniper",10,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Squamata 'Holger'","Holger's Juniper",13,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Squamata Expansa 'Parsonii'","Parson's Juniper",28,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
"Juniperus Virginiana 'Cupressifolia'","Hillspire Juniper",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Virginiana 'Grey Owl'","Grey Owl Juniper",28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Virginiana 'Idyllwild'","Idyllwild Juniper",28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus Virginiana 'Taylor'","Taylor Juniper",7,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus X Pfitzeriana 'Aurea Improved'","Gold Coast Juniper",13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus X Pfitzeriana 'Glauca'","Blue Pfitzer Juniper",79,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Juniperus X Pfitzeriana 'Monsan'","Sea Of Gold Juniper",13,No,No,No,No,No,No,Yes,No,No,No,No,No,No
